n_boletim;_;dia;_;n_dia;_;dados_medidos;_;_;confirmados;_;descartados;_;_;internados;_;obitosEmInvestigacao;_;obitosConfirmados;_;_;sindromeGripalAc;_;sindromeGripalIns;_;_;MM_14D_confirmados;_;MM_14D_obitosConfirmados;_;_;MM_14D_SG_Ac;_;MM_14D_internados;_;_;TC_30D_confirmados;_;TC_30D_SG_Ac;_;_;TC_30D_e_MM_14D_confirmados;_;TC_30D_e_MM_14D_SG_Ac;_;_;R_MMSGAc_MMconfirmados;_;R_MMconfirmados_MMobitos
1;;16/03/2020;;1;;true;;;0;;4;;;0;;0;;0;;;;;;;;0;;0;;;;;4;;;;;;;;;;;;;;;0
2;;17/03/2020;;2;;true;;;0;;4;;;0;;0;;0;;;;;;;;0;;0;;;;;6;;;;;;;;;;;;;;;0
3;;18/03/2020;;3;;true;;;1;;4;;;0;;0;;0;;;;;;;;0;;0;;;;;7;;;;;;;;;;;;;;;0
4;;19/03/2020;;4;;true;;;1;;4;;;3;;0;;0;;;;;;;;0;;0;;;;;8;;;;;;;;;;;;;;;0
5;;20/03/2020;;5;;true;;;1;;4;;;8;;0;;0;;;;;;;;0;;0;;;40;;10;;;;;;;;;;1;;;40;;0
6;;21/03/2020;;6;;true;;;1;;4;;;9;;0;;0;;;;;;;;1;;0;;;77;;11;;;;;;;;;;2;;;77;;1
7;;22/03/2020;;7;;true;;;1;;4;;;8;;0;;0;;;;;;;;1;;0;;;113;;12;;;;;;;;;;3;;;113;;1
8;;23/03/2020;;8;;true;;;1;;7;;;9;;0;;0;;;;;;;;1;;0;;;146;;13;;;;;;;;;;4;;;146;;1
9;;24/03/2020;;9;;true;;;1;;7;;;19;;3;;0;;;;;;;;1;;0;;;195;;15;;;;;;;;;;6;;;195;;1
10;;25/03/2020;;10;;true;;;1;;7;;;19;;4;;0;;;;;;;;1;;0;;;246;;16;;;;;;;;;;8;;;246;;1
11;;26/03/2020;;11;;true;;;1;;7;;;22;;4;;0;;;;;;;;1;;0;;;301;;18;;;;;;;;;;10;;;301;;1
12;;27/03/2020;;12;;true;;;2;;7;;;24;;4;;0;;;482;;;;;1;;0;;;359;;20;;;;;16;;;;;11;;;359;;1
13;;28/03/2020;;13;;true;;;2;;7;;;24;;6;;0;;;530;;;;;1;;0;;;418;;21;;;;;18;;;;;13;;;418;;1
14;;29/03/2020;;14;;true;;;2;;11;;;27;;6;;0;;;573;;;;;1;;0;;;477;;22;;;;;19;;;;;15;;;477;;1
15;;30/03/2020;;15;;true;;;2;;11;;;29;;6;;0;;;614;;;;;1;;0;;;540;;23;;;;;20;;;;;17;;;540;;1
16;;31/03/2020;;16;;true;;;2;;13;;;25;;6;;0;;;734;;;;;2;;0;;;613;;24;;;;;24;;;;;20;;;306,5;;2
17;;01/04/2020;;17;;true;;;2;;13;;;26;;6;;0;;;765;;;;;2;;0;;;690;;25;;;;;26;;;;;22;;;345;;2
18;;02/04/2020;;18;;true;;;2;;13;;;27;;6;;0;;;819;;;;;2;;0;;;768;;26;;;;;27;;;;;25;;;384;;2
19;;03/04/2020;;19;;true;;;2;;21;;;29;;8;;0;;;875;;;;;2;;0;;;847;;26;;;;;29;;;;;28;;;423,5;;2
20;;04/04/2020;;20;;true;;;3;;26;;;23;;9;;0;;;884;;;;;3;;0;;;895;;26;;;;;29;;;;;29;;;298,3;;3
21;;05/04/2020;;21;;true;;;3;;33;;;22;;10;;0;;;892;;;;;3;;0;;;941;;27;;;;;30;;;;;31;;;313,7;;3
22;;06/04/2020;;22;;true;;;3;;33;;;25;;11;;0;;;940;;;;;3;;0;;;986;;26;;;;;31;;;;;32;;;328,7;;3
23;;07/04/2020;;23;;true;;;3;;36;;;25;;10;;0;;;1088;;;;;4;;0;;;1031;;26;;;;;36;;;;;34;;;257,8;;4
24;;08/04/2020;;24;;true;;;4;;38;;;32;;9;;1;;;1154;;;;;4;;1;;;1069;;26;;;;;38;;;;;35;;;267,3;;4
25;;09/04/2020;;25;;true;;;6;;50;;;31;;4;;2;;;1170;;;;;4;;1;;;1105;;26;;;;;39;;;;;36;;;276,3;;4
26;;10/04/2020;;26;;true;;;6;;51;;;29;;4;;2;;;1193;;;;;5;;1;;;1140;;25;;;;;40;;;;;38;;;228;;5
27;;11/04/2020;;27;;true;;;6;;51;;;27;;5;;2;;;1201;;443;;;5;;1;;;1173;;24;;;;;40;;;;;39;;;234,6;;5
28;;12/04/2020;;28;;true;;;6;;51;;;28;;5;;2;;;1217;;384;;;6;;1;;;1205;;24;;;;;41;;;;;40;;;200,8;;6
29;;13/04/2020;;29;;true;;;7;;62;;;25;;7;;2;;;1245;;361;;;6;;1;;;1240;;24;;;;;42;;;;;41;;;206,7;;6
30;;14/04/2020;;30;;true;;;7;;71;;;24;;7;;2;;;1291;;273;;;7;;1;;;1273;;24;;;;;43;;;;;42;;;181,9;;7
31;;15/04/2020;;31;;true;;;7;;122;;;23;;5;;2;;;1301;;335;;;8;;1;;;1301;;24;;;;;43;;;;;43;;;162,6;;8
32;;16/04/2020;;32;;true;;;8;;136;;;22;;6;;2;;;1317;;314;;;9;;2;;;1327;;23;;;;;44;;;;;44;;;147,4;;4,5
33;;17/04/2020;;33;;true;;;10;;173;;;21;;6;;2;;;1340;;300;;;10;;2;;;1356;;22;;;;;45;;;;;45;;;135,6;;5
34;;18/04/2020;;34;;true;;;10;;173;;;13;;8;;2;;;1365;;278;;;11;;2;;;1386;;21;;;;;46;;;;;46;;;126;;5,5
35;;19/04/2020;;35;;true;;;10;;183;;;17;;6;;2;;;1375;;257;;;12;;2;;;1416;;21;;;;;46;;;;;46;;;118;;6
36;;20/04/2020;;36;;true;;;10;;184;;;24;;6;;2;;;1413;;260;;;13;;2;;;1446;;20;;;;;47;;;;;46;;;111,2;;6,5
37;;21/04/2020;;37;;true;;;10;;192;;;23;;6;;2;;;1429;;250;;;15;;2;;;1483;;19;;;;;48;;;;;46;;;98,9;;7,5
38;;22/04/2020;;38;;true;;;16;;202;;;25;;6;;2;;;1513;;257;;;16;;2;;;1517;;19;;;1;;50;;;;;45;;;94,8;;8
39;;23/04/2020;;39;;true;;;16;;216;;;20;;6;;2;;;1538;;249;;;18;;2;;;1553;;18;;;1;;51;;;;;45;;;86,3;;9
40;;24/04/2020;;40;;true;;;22;;223;;;20;;7;;2;;;1615;;280;;;20;;2;;;1589;;18;;;1;;54;;;;;44;;;79,5;;10
41;;25/04/2020;;41;;true;;;22;;229;;;17;;2;;2;;;1635;;273;;;21;;2;;;1625;;17;;;1;;55;;;;;44;;;77,4;;10,5
42;;26/04/2020;;42;;true;;;25;;401;;;15;;2;;2;;;1647;;268;;;23;;2;;;1662;;17;;;1;;39;;;;;43;;;72,3;;11,5
43;;27/04/2020;;43;;true;;;28;;418;;;16;;1;;2;;;1678;;261;;;24;;2;;;1702;;17;;;1;;38;;;;;42;;;70,9;;12
44;;28/04/2020;;44;;true;;;29;;419;;;13;;1;;2;;;1788;;332;;;26;;2;;;1744;;15;;;1;;41;;;;;42;;;67,1;;13
45;;29/04/2020;;45;;true;;;30;;430;;;18;;1;;2;;;1806;;325;;;28;;2;;;1787;;14;;;1;;40;;;1;;41;;;63,8;;14
46;;30/04/2020;;46;;true;;;30;;459;;;20;;1;;2;;;1840;;343;;;29;;2;;;1825;;13;;;1;;37;;;1;;40;;;62,9;;14,5
47;;01/05/2020;;47;;true;;;33;;471;;;11;;1;;2;;;1862;;333;;;30;;2;;;1863;;13;;;1;;37;;;1;;39;;;62,1;;15
48;;02/05/2020;;48;;true;;;33;;471;;;12;;1;;2;;;1880;;336;;;32;;2;;;1898;;12;;;1;;35;;;1;;37;;;59,3;;16
49;;03/05/2020;;49;;true;;;33;;471;;;10;;1;;2;;;1916;;339;;;33;;2;;;1932;;12;;;1;;35;;;1;;36;;;58,5;;16,5
50;;04/05/2020;;50;;true;;;33;;477;;;11;;2;;2;;;1974;;375;;;34;;2;;;1967;;12;;;1;;36;;;1;;35;;;57,9;;17
51;;05/05/2020;;51;;true;;;35;;489;;;5;;2;;3;;;2046;;420;;;35;;2;;;2005;;12;;;1;;38;;;1;;35;;;57,3;;17,5
52;;06/05/2020;;52;;true;;;35;;495;;;8;;2;;3;;;2073;;409;;;36;;2;;;2039;;11;;;1;;38;;;1;;35;;;56,6;;18
53;;07/05/2020;;53;;true;;;36;;498;;;7;;2;;3;;;2085;;398;;;37;;2;;;2074;;11;;;1;;33;;;1;;34;;;56,1;;18,5
54;;08/05/2020;;54;;true;;;38;;510;;;12;;2;;3;;;2113;;393;;;39;;2;;;2108;;10;;;1;;32;;;1;;34;;;54,1;;19,5
55;;09/05/2020;;55;;true;;;40;;519;;;15;;2;;3;;;2130;;362;;;40;;2;;;2142;;10;;;1;;32;;;1;;34;;;53,5;;20
56;;10/05/2020;;56;;true;;;40;;521;;;15;;2;;3;;;2155;;347;;;42;;2;;;2174;;10;;;1;;32;;;1;;34;;;51,8;;21
57;;11/05/2020;;57;;true;;;40;;530;;;13;;2;;3;;;2161;;314;;;44;;2;;;2206;;11;;;1;;32;;;1;;34;;;50,1;;22
58;;12/05/2020;;58;;true;;;42;;540;;;12;;1;;3;;;2252;;359;;;46;;3;;;2237;;11;;;1;;35;;;1;;34;;;48,6;;15,3
59;;13/05/2020;;59;;true;;;45;;564;;;5;;1;;3;;;2303;;371;;;48;;3;;;2265;;12;;;1;;35;;;1;;34;;;47,2;;16
60;;14/05/2020;;60;;true;;;49;;589;;;9;;1;;3;;;2325;;354;;;52;;3;;;2292;;13;;;1;;34;;;1;;33;;;44,1;;17,3
61;;15/05/2020;;61;;true;;;55;;606;;;10;;1;;3;;;2356;;350;;;55;;3;;;2322;;13;;;2;;35;;;1;;34;;;42,2;;18,3
62;;16/05/2020;;62;;true;;;57;;625;;;13;;1;;3;;;2364;;329;;;59;;3;;;2351;;14;;;2;;35;;;1;;34;;;39,8;;19,7
63;;17/05/2020;;63;;true;;;58;;666;;;16;;1;;3;;;2364;;298;;;63;;3;;;2379;;14;;;2;;34;;;1;;34;;;37,8;;21
64;;18/05/2020;;64;;true;;;62;;685;;;19;;1;;3;;;2402;;311;;;66;;3;;;2405;;15;;;2;;35;;;1;;33;;;36,4;;22
65;;19/05/2020;;65;;true;;;67;;718;;;16;;0;;3;;;2429;;311;;;71;;3;;;2434;;16;;;2;;35;;;2;;33;;;34,3;;23,7
66;;20/05/2020;;66;;true;;;70;;728;;;16;;0;;4;;;2464;;319;;;76;;3;;;2458;;16;;;2;;35;;;2;;33;;;32,3;;25,3
67;;21/05/2020;;67;;true;;;85;;752;;;20;;0;;4;;;2486;;298;;;81;;3;;;2482;;17;;;3;;35;;;2;;33;;;30,6;;27
68;;22/05/2020;;68;;true;;;91;;757;;;16;;0;;4;;;2538;;322;;;86;;3;;;2506;;17;;;3;;34;;;2;;32;;;29,1;;28,7
69;;23/05/2020;;69;;true;;;92;;771;;;20;;0;;4;;;2542;;311;;;91;;3;;;2528;;18;;;3;;33;;;2;;32;;;27,8;;30,3
70;;24/05/2020;;70;;true;;;92;;771;;;24;;1;;4;;;2547;;285;;;97;;4;;;2552;;18;;;2;;31;;;2;;31;;;26,3;;24,3
71;;25/05/2020;;71;;true;;;96;;784;;;25;;0;;4;;;2556;;268;;;103;;4;;;2577;;18;;;2;;31;;;2;;31;;;25;;25,8
72;;26/05/2020;;72;;true;;;107;;839;;;19;;0;;4;;;2587;;268;;;110;;4;;;2605;;17;;;3;;31;;;3;;31;;;23,7;;27,5
73;;27/05/2020;;73;;true;;;114;;843;;;17;;0;;4;;;2621;;290;;;117;;4;;;2633;;17;;;3;;31;;;3;;30;;;22,5;;29,3
74;;28/05/2020;;74;;true;;;122;;897;;;19;;0;;4;;;2656;;302;;;123;;4;;;2661;;18;;;3;;29;;;3;;30;;;21,6;;30,8
75;;29/05/2020;;75;;true;;;128;;905;;;18;;0;;5;;;2684;;299;;;130;;4;;;2691;;18;;;3;;29;;;3;;30;;;20,7;;32,5
76;;30/05/2020;;76;;true;;;137;;920;;;15;;0;;5;;;2694;;299;;;138;;4;;;2719;;18;;;4;;28;;;3;;29;;;19,7;;34,5
77;;31/05/2020;;77;;true;;;138;;925;;;13;;0;;5;;;2710;;288;;;145;;4;;;2747;;19;;;4;;28;;;3;;29;;;18,9;;36,3
78;;01/06/2020;;78;;true;;;157;;944;;;14;;0;;5;;;2750;;317;;;156;;4;;;2781;;19;;;4;;29;;;4;;29;;;17,8;;39
79;;02/06/2020;;79;;true;;;162;;954;;;16;;0;;5;;;2816;;353;;;167;;4;;;2817;;20;;;4;;30;;;4;;29;;;16,9;;41,8
80;;03/06/2020;;80;;true;;;165;;990;;;15;;0;;5;;;2851;;365;;;179;;4;;;2856;;21;;;4;;29;;;4;;29;;;16;;44,8
81;;04/06/2020;;81;;true;;;167;;1018;;;19;;0;;5;;;2886;;370;;;190;;5;;;2894;;22;;;4;;28;;;5;;29;;;15,2;;38
82;;05/06/2020;;82;;true;;;192;;1065;;;22;;0;;5;;;2932;;363;;;201;;5;;;2932;;24;;;5;;29;;;5;;29;;;14,6;;40,2
83;;06/06/2020;;83;;true;;;205;;1077;;;22;;1;;5;;;2953;;361;;;212;;5;;;2969;;25;;;6;;29;;;5;;29;;;14;;42,4
84;;07/06/2020;;84;;true;;;205;;1077;;;29;;1;;5;;;2973;;353;;;224;;5;;;3006;;27;;;6;;29;;;6;;30;;;13,4;;44,8
85;;08/06/2020;;85;;true;;;248;;1103;;;33;;2;;5;;;3050;;353;;;235;;5;;;3046;;28;;;7;;31;;;6;;30;;;13;;47
86;;09/06/2020;;86;;true;;;266;;1181;;;37;;0;;5;;;3103;;420;;;246;;6;;;3087;;29;;;8;;32;;;6;;30;;;12,5;;41
87;;10/06/2020;;87;;true;;;280;;1203;;;34;;0;;5;;;3172;;420;;;257;;6;;;3127;;30;;;8;;34;;;7;;30;;;12,2;;42,8
88;;11/06/2020;;88;;true;;;285;;1211;;;35;;1;;7;;;3191;;444;;;270;;6;;;3172;;31;;;8;;31;;;7;;31;;;11,7;;45
89;;12/06/2020;;89;;true;;;285;;1211;;;41;;1;;7;;;3221;;445;;;283;;7;;;3219;;32;;;8;;31;;;7;;31;;;11,4;;40,4
90;;13/06/2020;;90;;true;;;302;;1283;;;39;;0;;7;;;3239;;440;;;294;;7;;;3265;;33;;;8;;30;;;8;;32;;;11,1;;42
91;;14/06/2020;;91;;true;;;303;;1283;;;39;;0;;7;;;3249;;414;;;305;;7;;;3311;;34;;;8;;30;;;8;;33;;;10,9;;43,6
92;;15/06/2020;;92;;true;;;310;;1296;;;34;;0;;8;;;3310;;444;;;317;;8;;;3361;;35;;;8;;32;;;8;;33;;;10,6;;39,6
93;;16/06/2020;;93;;true;;;315;;1305;;;29;;0;;9;;;3359;;449;;;328;;8;;;3413;;35;;;9;;33;;;8;;34;;;10,4;;41
94;;17/06/2020;;94;;true;;;337;;1378;;;32;;1;;10;;;3425;;463;;;339;;9;;;3466;;34;;;9;;34;;;9;;35;;;10,2;;37,7
95;;18/06/2020;;95;;true;;;353;;1421;;;32;;0;;11;;;3523;;522;;;351;;9;;;3521;;34;;;10;;36;;;9;;36;;;10;;39
96;;19/06/2020;;96;;true;;;362;;1499;;;34;;0;;11;;;3592;;567;;;363;;10;;;3579;;33;;;10;;38;;;9;;37;;;9,9;;36,3
97;;20/06/2020;;97;;true;;;367;;1501;;;34;;0;;11;;;3615;;557;;;378;;10;;;3637;;33;;;9;;38;;;9;;38;;;9,6;;37,8
98;;21/06/2020;;98;;true;;;368;;1501;;;35;;0;;11;;;3644;;537;;;391;;10;;;3695;;32;;;9;;37;;;10;;39;;;9,5;;39,1
99;;22/06/2020;;99;;true;;;376;;1555;;;40;;0;;11;;;3724;;571;;;405;;11;;;3759;;31;;;9;;39;;;10;;41;;;9,3;;36,8
100;;23/06/2020;;100;;true;;;418;;1653;;;34;;1;;11;;;3833;;631;;;420;;11;;;3822;;31;;;11;;43;;;10;;42;;;9,1;;38,2
101;;24/06/2020;;101;;true;;;434;;1724;;;27;;2;;12;;;3906;;662;;;437;;11;;;3886;;31;;;11;;45;;;11;;43;;;8,9;;39,7
102;;25/06/2020;;102;;true;;;455;;1799;;;31;;1;;12;;;3986;;705;;;453;;11;;;3951;;31;;;12;;47;;;11;;44;;;8,7;;41,2
103;;26/06/2020;;103;;true;;;470;;1859;;;27;;1;;12;;;4069;;838;;;469;;12;;;4014;;32;;;12;;48;;;11;;46;;;8,6;;39,1
104;;27/06/2020;;104;;true;;;501;;1860;;;29;;0;;12;;;4087;;731;;;485;;12;;;4074;;31;;;13;;48;;;12;;47;;;8,4;;40,4
105;;28/06/2020;;105;;true;;;501;;1860;;;27;;0;;12;;;4116;;717;;;503;;12;;;4134;;32;;;12;;48;;;12;;48;;;8,2;;41,9
106;;29/06/2020;;106;;true;;;509;;1915;;;27;;0;;13;;;4202;;765;;;522;;12;;;4200;;31;;;12;;50;;;12;;49;;;8;;43,5
107;;30/06/2020;;107;;true;;;541;;2015;;;35;;0;;13;;;4261;;745;;;543;;12;;;4268;;31;;;13;;52;;;13;;50;;;7,9;;45,3
108;;01/07/2020;;108;;true;;;563;;2098;;;33;;1;;13;;;4310;;721;;;564;;13;;;4334;;31;;;14;;52;;;13;;51;;;7,7;;43,4
109;;02/07/2020;;109;;true;;;577;;2158;;;33;;0;;13;;;4401;;767;;;585;;13;;;4401;;31;;;14;;53;;;14;;52;;;7,5;;45
110;;03/07/2020;;110;;true;;;601;;2193;;;34;;0;;13;;;4470;;765;;;606;;13;;;4470;;32;;;15;;54;;;14;;53;;;7,4;;46,6
111;;04/07/2020;;111;;true;;;608;;2203;;;32;;0;;14;;;4491;;713;;;628;;13;;;4536;;32;;;15;;54;;;14;;54;;;7,2;;48,3
112;;05/07/2020;;112;;true;;;633;;2261;;;36;;0;;14;;;4518;;672;;;649;;13;;;4600;;33;;;15;;53;;;14;;55;;;7,1;;49,9
113;;06/07/2020;;113;;true;;;646;;2274;;;30;;1;;14;;;4640;;728;;;672;;14;;;4674;;34;;;15;;56;;;15;;56;;;7;;48
114;;07/07/2020;;114;;true;;;692;;2364;;;35;;0;;14;;;4736;;751;;;698;;14;;;4749;;34;;;16;;59;;;15;;58;;;6,8;;49,9
115;;08/07/2020;;115;;true;;;729;;3469;;;34;;0;;15;;;4831;;790;;;725;;14;;;4828;;34;;;16;;59;;;16;;59;;;6,7;;51,8
116;;09/07/2020;;116;;true;;;751;;3513;;;32;;0;;15;;;4911;;800;;;752;;15;;;4972;;35;;;16;;60;;;16;;62;;;6,6;;50,1
117;;10/07/2020;;117;;true;;;771;;3575;;;39;;3;;15;;;5018;;863;;;780;;15;;;5121;;35;;;16;;62;;;17;;66;;;6,6;;52
118;;11/07/2020;;118;;true;;;800;;3650;;;38;;3;;15;;;5054;;848;;;808;;15;;;5268;;35;;;17;;62;;;18;;69;;;6,5;;53,9
119;;12/07/2020;;119;;true;;;824;;3682;;;34;;2;;15;;;5054;;848;;;837;;15;;;5417;;35;;;18;;61;;;18;;73;;;6,5;;55,8
120;;13/07/2020;;120;;true;;;842;;3702;;;39;;1;;17;;;5216;;908;;;865;;15;;;5573;;35;;;18;;66;;;19;;76;;;6,4;;57,7
121;;14/07/2020;;121;;true;;;902;;3793;;;36;;1;;17;;;5336;;969;;;894;;16;;;5729;;35;;;20;;70;;;19;;80;;;6,4;;55,9
122;;15/07/2020;;122;;true;;;937;;3900;;;38;;1;;17;;;5446;;1010;;;923;;16;;;5888;;34;;;21;;71;;;20;;84;;;6,4;;57,7
123;;16/07/2020;;123;;true;;;974;;3990;;;38;;1;;17;;;6469;;1494;;;952;;16;;;6050;;34;;;22;;104;;;20;;87;;;6,4;;59,5
124;;17/07/2020;;124;;true;;;997;;4078;;;35;;1;;17;;;6637;;1578;;;981;;17;;;6216;;34;;;22;;107;;;21;;91;;;6,3;;57,7
125;;18/07/2020;;125;;true;;;1028;;4172;;;32;;1;;17;;;6676;;1518;;;1011;;17;;;6378;;33;;;23;;105;;;22;;95;;;6,3;;59,5
126;;19/07/2020;;126;;true;;;1029;;4176;;;33;;1;;17;;;6718;;1462;;;1040;;17;;;6540;;33;;;22;;104;;;22;;98;;;6,3;;61,2
127;;20/07/2020;;127;;true;;;1055;;4191;;;33;;3;;17;;;6853;;1500;;;1067;;18;;;6731;;33;;;23;;108;;;23;;103;;;6,3;;59,3
128;;21/07/2020;;128;;true;;;1084;;4247;;;31;;1;;17;;;6980;;1531;;;1096;;18;;;6924;;33;;;24;;111;;;23;;107;;;6,3;;60,9
129;;22/07/2020;;129;;true;;;1128;;4336;;;30;;1;;19;;;7128;;1571;;;1122;;18;;;7118;;33;;;25;;113;;;23;;112;;;6,3;;62,3
130;;23/07/2020;;130;;true;;;1166;;4439;;;28;;1;;19;;;7256;;1575;;;1149;;18;;;7313;;33;;;25;;114;;;24;;116;;;6,4;;63,8
131;;24/07/2020;;131;;true;;;1185;;4544;;;29;;1;;20;;;7401;;1604;;;1177;;19;;;7448;;33;;;25;;117;;;24;;118;;;6,3;;61,9
132;;25/07/2020;;132;;true;;;1219;;4635;;;30;;0;;20;;;7451;;1544;;;1204;;19;;;7573;;33;;;25;;116;;;25;;120;;;6,3;;63,4
133;;26/07/2020;;133;;true;;;1233;;4697;;;36;;0;;20;;;7488;;1430;;;1230;;19;;;7698;;34;;;25;;114;;;25;;122;;;6,3;;64,7
134;;27/07/2020;;134;;true;;;1239;;4697;;;38;;1;;20;;;7913;;1717;;;1257;;20;;;7844;;34;;;25;;128;;;25;;125;;;6,2;;62,9
135;;28/07/2020;;135;;true;;;1274;;4843;;;41;;0;;20;;;8117;;1811;;;1283;;20;;;7992;;34;;;26;;133;;;26;;128;;;6,2;;64,2
136;;29/07/2020;;136;;true;;;1294;;4925;;;35;;1;;20;;;8246;;1797;;;1310;;21;;;8147;;35;;;26;;135;;;26;;131;;;6,2;;62,4
137;;30/07/2020;;137;;true;;;1337;;5025;;;38;;0;;21;;;8370;;1792;;;1336;;21;;;8300;;35;;;27;;137;;;26;;134;;;6,2;;63,6
138;;31/07/2020;;138;;true;;;1387;;5198;;;36;;1;;21;;;8488;;1794;;;1361;;21;;;8452;;36;;;27;;139;;;26;;137;;;6,2;;64,8
139;;01/08/2020;;139;;true;;;1406;;5256;;;38;;0;;21;;;8517;;1696;;;1390;;22;;;8597;;37;;;28;;137;;;26;;139;;;6,2;;63,2
140;;02/08/2020;;140;;true;;;1419;;5286;;;41;;0;;22;;;8558;;1567;;;1416;;22;;;8742;;38;;;27;;136;;;27;;142;;;6,2;;64,4
141;;03/08/2020;;141;;true;;;1433;;5326;;;37;;0;;23;;;8900;;1786;;;1442;;23;;;8895;;37;;;28;;147;;;27;;145;;;6,2;;62,7
142;;04/08/2020;;142;;true;;;1448;;5404;;;36;;1;;24;;;9081;;1819;;;1468;;23;;;9031;;37;;;27;;152;;;27;;147;;;6,2;;63,8
143;;05/08/2020;;143;;true;;;1487;;5530;;;35;;0;;25;;;9294;;1816;;;1495;;24;;;9163;;37;;;28;;155;;;27;;149;;;6,1;;62,3
144;;06/08/2020;;144;;true;;;1516;;5606;;;34;;0;;26;;;9420;;1810;;;1523;;25;;;9298;;36;;;27;;156;;;27;;151;;;6,1;;60,9
145;;07/08/2020;;145;;true;;;1548;;5698;;;44;;0;;26;;;9537;;1769;;;1549;;25;;;9433;;36;;;27;;157;;;27;;153;;;6,1;;62
146;;08/08/2020;;146;;true;;;1613;;5850;;;45;;0;;27;;;9583;;1697;;;1575;;26;;;9564;;36;;;29;;156;;;27;;153;;;6,1;;60,6
147;;09/08/2020;;147;;true;;;1613;;5850;;;36;;0;;27;;;9625;;1584;;;1599;;27;;;9696;;36;;;28;;154;;;27;;152;;;6,1;;59,2
148;;10/08/2020;;148;;true;;;1621;;5856;;;34;;0;;27;;;9782;;1643;;;1624;;27;;;9861;;35;;;27;;158;;;27;;153;;;6,1;;60,1
149;;11/08/2020;;149;;true;;;1636;;5961;;;34;;0;;29;;;9948;;1683;;;1652;;28;;;10010;;35;;;27;;163;;;27;;153;;;6,1;;59
150;;12/08/2020;;150;;true;;;1671;;6073;;;32;;0;;29;;;10109;;1656;;;1681;;29;;;10154;;35;;;28;;163;;;27;;152;;;6;;58
151;;13/08/2020;;151;;true;;;1712;;6235;;;30;;0;;30;;;10268;;1671;;;1708;;29;;;10283;;35;;;27;;164;;;27;;151;;;6;;58,9
152;;14/08/2020;;152;;true;;;1739;;6352;;;39;;0;;31;;;10397;;1661;;;1737;;30;;;10414;;35;;;27;;165;;;27;;150;;;6;;57,9
153;;15/08/2020;;153;;true;;;1769;;6430;;;31;;0;;31;;;10453;;1574;;;1765;;30;;;10539;;35;;;27;;133;;;27;;149;;;6;;58,8
154;;16/08/2020;;154;;true;;;1771;;6430;;;34;;0;;31;;;10488;;1456;;;1790;;31;;;10663;;34;;;26;;128;;;27;;148;;;6;;57,7
155;;17/08/2020;;155;;true;;;1790;;6498;;;32;;0;;32;;;11040;;1876;;;1815;;31;;;10792;;35;;;25;;145;;;26;;147;;;5,9;;58,5
156;;18/08/2020;;156;;true;;;1854;;6613;;;36;;0;;32;;;11137;;1859;;;1840;;32;;;10917;;35;;;28;;147;;;26;;145;;;5,9;;57,5
157;;19/08/2020;;157;;true;;;1884;;6790;;;34;;0;;33;;;11234;;1780;;;1867;;32;;;11036;;35;;;28;;146;;;26;;143;;;5,9;;58,3
158;;20/08/2020;;158;;true;;;1884;;6790;;;34;;0;;33;;;11234;;1780;;;1894;;33;;;11178;;36;;;27;;142;;;26;;141;;;5,9;;57,4
159;;21/08/2020;;159;;true;;;1952;;6963;;;40;;0;;33;;;11389;;1615;;;1920;;33;;;11318;;36;;;27;;142;;;26;;140;;;5,9;;58,2
160;;22/08/2020;;160;;true;;;1976;;7025;;;39;;0;;34;;;11412;;1485;;;1946;;33;;;11449;;36;;;27;;139;;;26;;137;;;5,9;;59
161;;23/08/2020;;161;;true;;;1983;;7025;;;38;;0;;34;;;11443;;1361;;;1970;;34;;;11578;;36;;;27;;135;;;26;;137;;;5,9;;57,9
162;;24/08/2020;;162;;true;;;1984;;7041;;;41;;0;;34;;;11552;;1311;;;1996;;34;;;11728;;36;;;26;;137;;;26;;138;;;5,9;;58,7
163;;25/08/2020;;163;;true;;;2006;;7156;;;41;;0;;34;;;11654;;1268;;;2023;;35;;;11847;;37;;;26;;139;;;26;;138;;;5,9;;57,8
164;;26/08/2020;;164;;true;;;2037;;7189;;;35;;0;;36;;;11743;;1126;;;2048;;36;;;11966;;37;;;27;;128;;;26;;137;;;5,8;;56,9
165;;27/08/2020;;165;;true;;;2069;;7254;;;37;;0;;37;;;12238;;1467;;;2074;;36;;;12086;;37;;;27;;137;;;26;;136;;;5,8;;57,6
166;;28/08/2020;;166;;true;;;2110;;7326;;;37;;0;;37;;;12358;;1443;;;2101;;36;;;12210;;37;;;27;;137;;;26;;135;;;5,8;;58,4
167;;29/08/2020;;167;;true;;;2131;;7408;;;36;;0;;38;;;12367;;1338;;;2125;;37;;;12327;;37;;;26;;133;;;26;;134;;;5,8;;57,4
168;;30/08/2020;;168;;true;;;2131;;7408;;;33;;0;;38;;;12393;;1246;;;2151;;37;;;12452;;36;;;25;;130;;;26;;133;;;5,8;;58,1
169;;31/08/2020;;169;;true;;;2150;;7414;;;41;;0;;39;;;12730;;1469;;;2181;;38;;;12578;;36;;;25;;140;;;26;;132;;;5,8;;57,4
170;;01/09/2020;;170;;true;;;2194;;7546;;;36;;1;;40;;;12827;;1485;;;2214;;38;;;12703;;35;;;26;;142;;;26;;132;;;5,7;;58,3
171;;02/09/2020;;171;;true;;;2238;;7640;;;34;;0;;40;;;12922;;1445;;;2247;;39;;;12825;;34;;;27;;134;;;26;;130;;;5,7;;57,6
